,Lat,Longi,Pos,Neg
0,0.0,-6460.0,40,40
1,0.0,-6460.0,32,24
2,0.0,-6460.0,24,28
3,0.0,-6460.0,28,23
4,0.0,-6460.0,30,21
5,0.0,-6460.0,30,21
6,0.0,-6460.0,-1,-1
7,5.0,-6455.0,60,10
8,5.0,-6455.0,20,40
9,5.0,-6455.0,20,36
10,5.0,-6455.0,20,36
11,5.0,-6455.0,20,36
12,5.0,-6455.0,32,17
13,5.0,-6455.0,26,6
14,10.0,-6450.0,35,21
15,10.0,-6450.0,16,35
16,10.0,-6450.0,16,35
17,10.0,-6450.0,16,35
18,10.0,-6450.0,16,35
19,10.0,-6450.0,35,17
20,10.0,-6450.0,39,18
21,15.0,-6445.0,36,27
22,15.0,-6445.0,44,6
23,15.0,-6445.0,45,6
24,15.0,-6445.0,48,7
25,15.0,-6445.0,49,6
26,15.0,-6445.0,35,19
27,15.0,-6445.0,38,13
28,20.0,-6440.0,-1,-1
29,20.0,-6440.0,48,22
30,20.0,-6440.0,48,22
31,20.0,-6440.0,48,22
32,20.0,-6440.0,48,22
33,20.0,-6440.0,29,25
34,20.0,-6440.0,23,13
35,25.0,-6435.0,-1,-1
36,25.0,-6435.0,48,22
37,25.0,-6435.0,46,23
38,25.0,-6435.0,46,23
39,25.0,-6435.0,46,23
40,25.0,-6435.0,7,59
41,25.0,-6435.0,26,26
42,30.0,-6430.0,-1,-1
43,30.0,-6430.0,-1,-1
44,30.0,-6430.0,-1,-1
45,30.0,-6430.0,-1,-1
46,30.0,-6430.0,-1,-1
47,30.0,-6430.0,-1,-1
48,30.0,-6430.0,-1,-1
