,Lat,Longi,Pos,Neg
0,0.0,0.0,44,33
1,0.0,5.0,33,20
2,0.0,10.0,25,25
3,0.0,15.0,26,24
4,0.0,20.0,26,23
5,0.0,25.0,26,23
6,0.0,30.0,-1,-1
7,5.0,0.0,66,11
8,5.0,5.0,31,20
9,5.0,10.0,31,20
10,5.0,15.0,35,17
11,5.0,20.0,35,17
12,5.0,25.0,33,17
13,5.0,30.0,23,7
14,10.0,0.0,38,23
15,10.0,5.0,30,12
16,10.0,10.0,30,12
17,10.0,15.0,33,11
18,10.0,20.0,33,11
19,10.0,25.0,35,18
20,10.0,30.0,39,19
21,15.0,0.0,36,27
22,15.0,5.0,44,4
23,15.0,10.0,44,4
24,15.0,15.0,40,6
25,15.0,20.0,37,7
26,15.0,25.0,35,19
27,15.0,30.0,38,13
28,20.0,0.0,-1,-1
29,20.0,5.0,22,22
30,20.0,10.0,22,22
31,20.0,15.0,22,22
32,20.0,20.0,22,22
33,20.0,25.0,28,24
34,20.0,30.0,22,16
35,25.0,0.0,-1,-1
36,25.0,5.0,22,22
37,25.0,10.0,22,22
38,25.0,15.0,22,22
39,25.0,20.0,22,22
40,25.0,25.0,7,53
41,25.0,30.0,26,26
42,30.0,0.0,-1,-1
43,30.0,5.0,-1,-1
44,30.0,10.0,-1,-1
45,30.0,15.0,-1,-1
46,30.0,20.0,-1,-1
47,30.0,25.0,-1,-1
48,30.0,30.0,-1,-1
